#TAG,NAME,PURPOSE
,alacritty,"is the default terminal."
,aria2,"downloads everything."
,awesome-git,"is the window manager."
,bat,"enables syntax highlighted preview."
,betterlockscreen,"provides nice lockscreen."
,cmake,"is a tool for build automation."
,cronie,"is a time-based job scheduler."
,eza,"is a modern ls command."
,fastjar,"can be useful when unzip not working."
,fcitx5-gtk,"provides fcitx5 gtk support"
,fcitx5-qt,"provides fcitx5 qt support."
,fcitx5-rime,"provides fcitx5 rime support."
,fd,"is a modern find command."
,ffmpegthumbnailer,"can generate thumbnail for video files."
,flameshot,"can take screenshots."
,font-victor-mono,"is a font."
,fzf,"is a fuzzy finder tool."
,gcc,"is the gnu compiler collection."
,gcolor2,"is a color picker."
,go,"is the go programming language."
,git-delta,"provides prettified git command output"
,github-cli,"is cli tools for github."
,inkscape,"is a vector graphics editor."
,interception-dual-function-keys,"gives modifier key more functionalities."
,jq,"is a command line json parser."
,mediainfo,"shows audio and video information."
,mpv,"is the patrician's choice video player."
,nautilus,"is a gui file manager."
,neovim,"a tidier vim with some useful features"
,nerd-fonts-victor-mono,"is a font."
,noto-fonts-cjk,"is a font include cjk charset."
,noto-fonts-emoji,"is an emoji font."
,npm,"is a javascript package manager."
,ntfs-3g,"allows accessing NTFS partitions."
,openssh,"provides a secure encrypted connection between two hosts."
,pass,"is a password manager."
,peek,"is a gif maker."
,playerctl,"is a media control tool."
,posix,"is a metapackage providing the POSIX shell and utilities."
,privoxy,"provides SOCKS to HTTP proxy conversion."
,pulseaudio,"is the audio system."
,qliveplayer-git,"can play stream links in mpv."
,ripgrep,"is a modern grep."
,rofi,"is a replacement for dmenu."
,screenkey,"is a key event logger."
,xray,"is a tool to bypass GFW."
,smbnetfs,"can mount Microsoft Neighborhood."
,ttf-hanazono,"is a font with huge charset."
,ttf-sarasa-gothic,"is a font."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,xdo,"provides window action utilities on the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xinput,"allows querying information about input devices."
,xorg-xwininfo,"allows querying information about windows."
,xwallpaper,"sets the wallpaper."
,you-get,"can download almost any webpage video (or playlist or channel) when given the link."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zip,"is a compressor for creating zipfiles."
AUR,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
AUR,danmaku2ass-git,"can generate .ass danmaku subs from .xml files."
AUR,epub-thumbnailer-git,"can generate thumbnail for epub files."
AUR,pup,"is a command line tool for HTML parsing."
AUR,redshift-minimal,"adjusts color temperature automatically."
AUR,simple-mtpfs,"enables the mounting of cell phones."
AUR,xvkbd,"is a virtual keyboard for X."
LOC,picom-animation-git,"is a compositor for transparency and removing screen-tearing."
LOC,emacs-git,"is a kitchen sink."
LOC,librime-git,"is the latest librime."
CAR,stylua_SPC_--features_SPC_lua52,"is a lua formatter."
